from,to
utang,hutang
ngutang,hutang
ibadahnya,ibadah
emak,ibu
idenya,ide
iklas,ikhlas
ikutan,ikut
ikuti,ikut
ikutin,ikut
ngikut,ikut
ilayhi,ilahi
ilmunya,ilmu
ngimami,imam
ngimammi,imam
imporan,impor
ngincar,incar
indobrmter,indobarometer
indonsia,indonesia
indon,indonesia
indone,indonesia
indones,indonesia
infestruktr,infrastruktur
infrastrukture,infrastruktur
infrstukt,infrastruktur
insafktruktur,infrastruktur
inget,ingat
ingatkan,ingat
eleeng,ingat
ingatlah,ingat
ingatnya,ingat
inginnya,ingin
pngn,ingin
terimspirasi,insipirasi
internetnya,internet
intr,internet
inv,invasi
invasi,invasi
invstasi,investasi
isinya,isi
istirahatlah,istirahat
bini,istri
bininya,istri
issue,isu
isyu,isu
kuwi,itu
ittuh,itu
ituh,itu
itukan,itu
itupun,itu
ntuh,itu
iyalah,iya
iyanya,iya
dadi,jadi
jdnya,jadi
jadirahasia,jadi rahasia
jahatnya,jahat
melaku,jalan
jalanan,jalan
jalannya,jalan
jalanya,jalan
kejln,jalan
jamanny,jaman
jaminan,jamin
terjamin,jamin
jngn,jangan
jagan,jangan
janjikan,janji
jnji,janji
jatuhkan,jatuh
jauuh,jauh
kaujauhi,jauh
jayaapura,jayapura
terjebak,jebak
jebloskan,jeblos
menjelekkan,jelek
jiembut,jembut
menawi,jika
jilatannya,jilat
jilaters,jilat
njilatin,jilat
jiwanya,jiwa
kejiwaannya,jiwa
jokowilah,jokowi
jkwi,jokowi
jokowie,jokowi
jombloh,jomblo
kabarnya,kabar
khabar,kabar
mengabari,kabar
ngacao,kacau
terkadang,kadang
klau,kalau
kalaupu,kalau
kalee,kali
kaliamntam,kalimantan
kalk,kalkulasi
campaign,kampanye
kampanyenya,kampanye
kamfreett,kampret
sampeyan,kamu
maneh,kamu
antum,kamu
jenengan,kamu
kantornya,kantor
krna,karena
karn,karena
karibnya,karib
kartasasm,kartasasmita
karyamu,karya
melas,kasihan
acian,kasihan
kacian,kasihan
dikata,kata
dikatakn,kata
jaremu,kata
katax,kata
omomgannya,kata
omonganm,kata
omonganya,kata
omongn,kata
kaumnya,kaum
dikawasan,kawasan
kayag,kayang
kekaya,kayang
kbangetan,kebangetan
kebanyang,kebayang
keberadaannya,keberadaan
kebinasaan,kebiasaan
kebon,kebun
kecewakan,kecewa
cilik,kecil
terkecil,kecil
kecoanye,kecoa
kcuali,kecuali
kdpn,kedepan
kej,kejadian
kjdian,kejadian
kekuatanasing,kekuatan asing
kelaminya,kelamin
keliatan,kelihatan
klmpk,kelompok
klompok,kelompok
kmaren,kemarin
kmarin,kemarin
kmbali,kembali
terkenal,kenal
knapa,kenapa
